title,genre_name,channel_name
Mr. 플랑크톤,nan,nan
가족X멜로,nan,nan
감자연구소,nan,nan
견우와 선녀 (드라마),nan,nan
경우의 수 (드라마),nan,nan
구미호뎐,nan,nan
그 해 우리는,nan,nan
그녀는 예뻤다 (대한민국의 드라마),nan,nan
그놈은 흑염룡 (드라마),nan,nan
그래서 나는 안티팬과 결혼했다,nan,nan
금주를 부탁해,nan,nan
기상청 사람들: 사내연애 잔혹사 편,nan,nan
김비서가 왜 그럴까,nan,nan
꽃보다 남자 (대한민국의 드라마),nan,nan
나는 대놓고 신데렐라를 꿈꾼다,nan,nan
나의 완벽한 비서,nan,nan
내 남편과 결혼해줘,nan,nan
다 이루어질지니,nan,nan
다리미 패밀리,nan,nan
닥터 슬럼프 (드라마),nan,nan
대도시의 사랑법,nan,nan
더 패뷸러스,nan,nan
독수리 5형제를 부탁해!,nan,nan
또! 오해영,nan,nan
마이데몬,nan,nan
모래에도 꽃이 핀다,nan,nan
미녀와 순정남,nan,nan
미녀의 탄생,nan,nan
반짝이는 워터멜론,nan,nan
밥을 태우는 여자,nan,nan
별들에게 물어봐,nan,nan
별에서 온 그대,nan,nan
빅 (드라마),nan,nan
사내맞선,nan,nan
사랑은 뷰티풀 인생은 원더풀,nan,nan
사랑은 외나무다리에서,nan,nan
사랑의 불시착,nan,nan
사장님의 식단표,nan,nan
서른이지만 열일곱입니다,nan,nan
선재 업고 튀어,nan,nan
성스러운 아이돌,nan,nan
세자가 사라졌다,nan,nan
손해 보기 싫어서,nan,nan
시카고 타자기 (드라마),nan,nan
신사와 아가씨,nan,nan
싸우자 귀신아 (드라마),nan,nan
쌈 마이웨이,nan,nan
안녕? 나야!,nan,nan
앙큼한 돌싱녀,nan,nan
야식남녀,nan,nan
어느 날 우리 집 현관으로 멸망이 들어왔다,nan,nan
언더커버 하이스쿨,nan,nan
엄마친구아들 (드라마),nan,nan
여신강림 (드라마),nan,nan
연애는 귀찮지만 외로운 건 싫어!,nan,nan
연애대전,nan,nan
연예인 매니저로 살아남기 (대한민국의 드라마),nan,nan
열녀박씨 계약결혼뎐,nan,nan
오늘도 사랑스럽개 (드라마),nan,nan
오늘도 지송합니다,nan,nan
"우리, 사랑했을까",nan,nan
우연일까?,nan,nan
웨딩 임파서블,nan,nan
유별나! 문셰프,nan,nan
이 사랑 통역 되나요?,nan,nan
이 연애는 불가항력,nan,nan
이혼 보험,nan,nan
절대 그이 (드라마),nan,nan
제발 그 남자 만나지 마요,nan,nan
조립식 가족,nan,nan
조선로코-녹두전,nan,nan
좋아하면 울리는,nan,nan
진짜가 나타났다!,nan,nan
"첫, 사랑을 위하여",nan,nan
최고의 사랑,nan,nan
출사표 (드라마),nan,nan
치얼업 (드라마),nan,nan
7급 공무원 (드라마),nan,nan
커피프린스 1호점,nan,nan
커피하우스 (드라마),nan,nan
킹더랜드,nan,nan
태풍상사,nan,nan
터치 (2020년 드라마),nan,nan
편의점 샛별이 (드라마),nan,nan
풀하우스 (드라마),nan,nan
함부로 대해줘 (드라마),nan,nan
혼례대첩,nan,nan
화양연화 - 삶이 꽃이 되는 순간,nan,nan
효심이네 각자도생,nan,nan
