title,genre_name,channel_name
17세의 조건,nan,nan
감성세대,nan,nan
경찰수업,nan,nan
공부의 신,nan,nan
꽃보다 남자 (대한민국의 드라마),nan,nan
나 (드라마),nan,nan
내일 (1998년 드라마),nan,nan
너를 노린다,nan,nan
넌 내게 반했어,nan,nan
네 꿈을 펼쳐라,nan,nan
달려라 고등어,nan,nan
두근두근 체인지,nan,nan
드림하이,nan,nan
드림하이 2,nan,nan
땐뽀걸즈 (드라마),nan,nan
또래와 뚜리,nan,nan
마술학교,nan,nan
맥랑시대,nan,nan
못난이 송편,nan,nan
무림학교,nan,nan
미미쿠스,nan,nan
미스터리 신입생,nan,nan
반지의 여왕,nan,nan
반짝반짝 작은 별 (2016년 드라마),nan,nan
발칙하게 고고,nan,nan
베이비시터 (드라마),nan,nan
복수가 돌아왔다,nan,nan
비밀의 교정,nan,nan
사랑은 외나무다리에서,nan,nan
상속자들,nan,nan
성균관 스캔들,nan,nan
성장드라마 반올림,nan,nan
성장드라마 반올림의 에피소드 목록,nan,nan
솔로몬의 위증 (드라마),nan,nan
아름다운 그대에게 (드라마),nan,nan
아름다운 세상 (드라마),nan,nan
아이 엠 샘 (드라마),nan,nan
악몽선생,nan,nan
안단테 (드라마),nan,nan
앵그리맘,nan,nan
얘네들 MONEY?!,nan,nan
어쩌다 발견한 하루,nan,nan
언어의 온도 : 우리의 열아홉,nan,nan
SOS - 우리 학교를 구해줘,nan,nan
에이틴 (드라마),nan,nan
에이틴 2,nan,nan
여왕의 교실 (2013년 드라마),nan,nan
열여덟의 순간,nan,nan
열일곱 (드라마),nan,nan
우연일까?,nan,nan
장난스런 키스 (드라마),nan,nan
정글피쉬,nan,nan
정글피쉬 2,nan,nan
조립식 가족,nan,nan
좀 예민해도 괜찮아,nan,nan
청춘시대 (드라마),nan,nan
청춘시대 2,nan,nan
통 메모리즈,nan,nan
통통한 연애,nan,nan
통통한 연애 시즌2,nan,nan
하이스쿨 러브온,nan,nan
하지 말라면 더 하고 19,nan,nan
학교 (드라마),nan,nan
학교 2 (드라마),nan,nan
학교 2017,nan,nan
학교 3 (드라마),nan,nan
학교 4 (드라마),nan,nan
학교 2013,nan,nan
후아유 - 학교 2015,nan,nan
학교 2021,nan,nan
학교 이야기,nan,nan
호랑이선생님,nan,nan
화이트 크리스마스 (2011년 드라마),nan,nan
훈장 오순남,nan,nan
힙한 선생,nan,nan
