title,genre_name,channel_name
아이리스 2,"스릴러, 블록버스터 첩보 액션",KBS 2TV
아이쇼핑 (드라마),"액션, 범죄, 스릴러",ENA
아이템 (드라마),"스릴러, SF, 판타지, 서스펜스",MBC TV
아테나: 전쟁의 여신,"스릴러, 첩보 액션 블록버스터",SBS
악연 (2025년 드라마),범죄 스릴러,넷플릭스
악의 꽃 (2020년 드라마),"스릴러, 서스펜스 멜로",tvN
악의 마음을 읽는 자들,"범죄, 논픽션, 스릴러, 미스터리",SBS TV
안나 (드라마),"심리 스릴러, 미스터리",쿠팡플레이
약한영웅 Class 2,학원 액션 드라마 범죄 스릴러 느와르 성장 하이틴 복수 사회고발 피카레스크,넷플릭스
어게인 마이 라이프,"스릴러, 판타지, 액션, 드라마",SBS TV
어느 날 우리 집 현관으로 멸망이 들어왔다,"로맨틱 코미디, 판타지, 가족, 스릴러",tvN
여왕의 집,"서스펜스, 범죄, 미스터리, 막장, 가족, 스릴러, 복수, 피카레스크",KBS 2TV
역류 (드라마),"가족, 멜로, 스릴러, 피카레스크",MBC TV
열혈사제,"스릴러, 경찰, 액션, 블랙 코미디, 서스펜스",SBS
오징어 게임,스릴러 드라마 생존,넷플릭스
오징어 게임 시즌 2,스릴러,넷플릭스
원더풀 월드,"범죄, 스릴러, 미스터리, 드라마, 느와르",MBC TV
유괴의 날,"스릴러, 휴머니즘, 미스터리, 코미디",ENA
유어 아너,"서스펜스, 범죄, 스릴러",ENA
은수 좋은 날,"스릴러, 범죄",KBS 2TV
자백의 대가,"미스터리, 스릴러",넷플릭스
잠은행,스릴러,MBC
"장화, 홍련 (드라마)","스릴러, 드라마, 서스펜스",KBS 2TV
저스티스 (드라마),"정치, 스릴러, 서스펜스",KBS 2TV
조각도시,"범죄, 스릴러",디즈니+
종이의 집: 공동경제구역,"하이스트, 범죄, 스릴러",넷플릭스
주홍글씨 (드라마),"스릴러, 드라마, 피카레스크",MBC
즐거운 나의 집 (2010년 드라마),"스릴러, 드라마",MBC
"지금부터, 쇼타임!","스릴러, 판타지, 범죄, 코미디",MBC TV
지배종,"드라마, SF, 스릴러, 액션, 판타지",디즈니+
지옥 (드라마),"공포, 스릴러, 판타지",넷플릭스
지옥에서 온 판사,"서스펜스, 느와르, 막장, 판타지, 액션, 범죄, 스릴러, 복수, 미스터리, 피카레스크, 블랙코미디",SBS TV
추리의 여왕,"스릴러, 범죄, 미스터리, 추리, 서스펜스",KBS 2TV
추리의 여왕 2,"스릴러, 범죄, 미스터리, 추리, 서스펜스",KBS 2TV
추적자 THE CHASER,"스릴러, 법률, 드라마, 복수극",SBS TV
카이로스 (드라마),"SF, 판타지, 스릴러",MBC
카인과 아벨 (2009년 드라마),"스릴러, 메디컬",SBS
커넥션 (드라마),"범죄, 느와르, 피카레스크, 서스펜스, 스릴러, 미스터리, 공포",SBS TV
커넥트 (드라마),"미스터리, 스릴러, 공포",디즈니+
크로스 (드라마),"스릴러, 드라마",tvN
킬러들의 쇼핑몰 시즌2,액션 스릴러 미스터리 느와르,디즈니+
킹덤 (2019년 드라마),"좀비, 공포, 스릴러, 판타지",넷플릭스
태양의 여자,"스릴러, 서스펜스",KBS 2TV
트레인 (드라마),"미스터리, 스릴러",OCN
트리거 (넷플릭스 드라마),"드라마, 블록버스터, 첩보, 액션, 범죄, 재난, 느와르, 스릴러, 사회 고발, 피카레스크",넷플릭스
트리거 (디즈니+ 드라마),"오피스 코미디, 액션 스릴러",디즈니+
특수수사일지: 1호관 사건,"스릴러, 드라마",KBS 2TV
피고인 (드라마),"스릴러, 범죄, 서스펜스, 복수극",SBS
하이퍼나이프,"의학, 범죄 스릴러",디즈니+
행복배틀,"서스펜스, 스릴러",ENA
현혹 (드라마),"스릴러, 드라마, 시대극, 미스터리",
형사록,"범죄, 수사, 스릴러",디즈니+
호텔킹,스릴러 로맨스,MBC
혼 (드라마),"스릴러, 영화, 범죄, 서스펜스",MBC TV
화이트 크리스마스 (2011년 드라마),"스릴러, 드라마",KBS 2TV
후아유 - 학교 2015,"스릴러, 교육 드라마",KBS 2TV
히어로 (2012년 드라마),"스릴러, 드라마",OCN
