title,genre_name,channel_name
브람스를 좋아하세요?,"로맨스, 클래식, 멜로, 드라마",SBS
비밀의 집,"복수, 로맨스, 범죄, 피카레스크",MBC
"사랑, 기억에 머물다",로맨스,"V LIVE, 네이버TV"
사랑비,"로맨스, 멜로, 휴머니즘",KBS 2TV
사랑은 방울방울,"로맨스, 가족, 드라마",SBS TV
사랑을 가르쳐 드립니다,"로맨스, 드라마",MBC
사랑의 꽈배기,"로맨스, 가족, 서스펜스, 피카레스크, 블랙코미디",KBS 2TV
사랑의 온도,로맨스,SBS
사랑의 이해,"멜로, 로맨스",JTBC
사랑이 오네요,"로맨스, 드라마",SBS
사랑이라 말해요,"드라마, 로맨스",디즈니+
사랑한다고 말해줘,로맨스,ENA
사랑할 때까지,"로맨스, 드라마",KBS 1TV
사생결단 로맨스,로맨스 드라마,MBC TV
사운드트랙 1,"로맨스, 음악",디즈니+
사운드트랙 2,"로맨스, 음악, 드라마",디즈니+
4월의 키스,"멜로, 로맨스",KBS 2TV
"사임당, 빛의 일기","판타지, 서사, 로맨스, 드라마, 사극",SBS
생동성 연애,판타지 로맨스,MBC
"서른, 아홉","드라마, 로맨스",JTBC
선배 그 립스틱 바르지 마요,로맨스,JTBC
성균관 스캔들,"로맨스, 청춘 사극 드라마",KBS 2TV
속아도 꿈결,"로맨스, 가족, 드라마",KBS 1TV
쇼핑왕 루이,"로맨스, 드라마",MBC
스물다섯 스물하나,"로맨스, 드라마, 코미디",tvN
스파크 (드라마),"SF, 로맨스","네이버TV, K-STAR"
시간이 멈추는 그때,판타지 로맨스 드라마,KBS W
시크릿 가든 (드라마),"로맨스, 판타지 로코 드라마",SBS
시크릿 메세지,"로맨스, 웹 드라마","네이버캐스트, dTV"
신입사관 구해령,"사극, 로맨스, 코미디",MBC
싱글파파는 열애중,"로맨스, 드라마",KBS 2TV
쓸쓸하고 찬란하神 - 도깨비,"판타지, 로맨스, 코미디, 드라마",tvN
아가씨를 부탁해,"로맨스, 로맨틱 코미디",KBS 2TV
아이엠 (드라마),SF/로맨스,네이버TV
