title,genre_name,channel_name
커피하우스 (드라마),"로맨틱 코미디, 드라마",SBS
킹더랜드,"로맨틱 코미디, 오피스, 휴먼, 가족",JTBC
터치 (2020년 드라마),"로맨틱 코미디, 드라마",채널A
편의점 샛별이 (드라마),로맨틱 코미디,"SBS TV, 아이치이"
폭군의 셰프,"가상역사극, 타임슬립, 로맨틱 코미디, 판타지, 요리",tvN
풀하우스 (드라마),로맨틱 코미디 드라마,KBS 2TV
프로보노 (드라마),"로맨틱 코미디, 법정, 휴먼, 코미디",tvN
함부로 대해줘 (드라마),"로맨틱 코미디, 로맨스, 코미디, 가족, 드라마",KBS 2TV
혼례대첩,"로맨틱 코미디, 정치, 가상역사극",KBS 2TV
화양연화 - 삶이 꽃이 되는 순간,"로맨틱 코미디, 휴먼 판타지 드라마",tvN
효심이네 각자도생,"로맨틱 코미디, 가족, 코미디",KBS 2TV
